Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost
1133,US-2021-138100-CHO-MIL-31000,2021-09-15,2027-03-13,Standard Class,138100,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
3396,US-2022-121391-CHO-MIL-31000,2022-10-04,2028-03-29,First Class,121391,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
4377,US-2023-103982-CHO-MIL-31000,2023-03-03,2028-08-28,Standard Class,103982,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
387,US-2021-158064-CHO-MIL-31000,2021-04-21,2026-10-16,Standard Class,158064,United States,Los Angeles,California,90008,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
1397,US-2021-130729-CHO-MIL-31000,2021-10-24,2027-04-21,Standard Class,130729,United States,Rancho Cucamonga,California,91730,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
8580,US-2024-169488-CHO-MIL-31000,2024-09-07,2030-03-02,First Class,169488,United States,Providence,Rhode Island,02908,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
665,US-2021-154963-CHO-MIL-31000,2021-06-22,2026-12-18,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
1761,US-2021-143210-CHO-MIL-31000,2021-12-01,2027-05-26,First Class,143210,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
5148,US-2023-147137-CHO-MIL-31000,2023-07-04,2028-12-26,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
5582,US-2023-131205-CHO-MIL-31000,2023-09-04,2029-02-28,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
6176,US-2023-140935-CHO-MIL-31000,2023-11-10,2029-05-04,First Class,140935,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
3230,US-2022-150511-CHO-MIL-31000,2022-09-18,2028-03-16,Standard Class,150511,United States,Des Moines,Washington,98198,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
4434,US-2023-108637-CHO-MIL-31000,2023-03-13,2028-09-07,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
9365,US-2024-107174-CHO-MIL-31000,2024-11-06,2030-05-06,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
3575,US-2022-163181-CHO-MIL-31000,2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4
3582,US-2022-163181-CHO-MIL-31000,2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
8268,US-2024-140781-CHO-MIL-31000,2024-08-03,2030-01-28,Standard Class,140781,United States,Bloomington,Illinois,61701,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
8784,US-2024-153822-CHO-MIL-31000,2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
8791,US-2024-153822-CHO-MIL-31000,2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
9546,US-2024-101042-CHO-MIL-31000,2024-11-19,2030-05-16,Standard Class,101042,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
9830,US-2024-131212-CHO-MIL-31000,2024-12-05,2030-06-01,Standard Class,131212,United States,Bellevue,Washington,98006,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
3881,US-2022-110093-CHO-MIL-31000,2022-12-03,2028-05-30,Standard Class,110093,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
6709,US-2023-151155-CHO-MIL-31000,2023-12-20,2029-06-15,Standard Class,151155,United States,Jackson,Mississippi,39212,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
7907,US-2024-155873-CHO-MIL-31000,2024-06-16,2029-12-12,Standard Class,155873,United States,Carlsbad,New Mexico,88220,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
7909,US-2024-155873-CHO-MIL-31000,2024-06-16,2029-12-12,Standard Class,155873,United States,Carlsbad,New Mexico,88220,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
